port,service,description,tcp,udp,other
348,csi-sgwp,Cabletron Management Protocol,True,,
348,csi-sgwp,Cabletron Management Protocol,,True,
349,mftp,mftp,True,,
349,mftp,mftp,,True,
350,matip-type-a,MATIP Type A,True,,
350,matip-type-a,MATIP Type A,,True,
351,matip-type-b,MATIP Type B,True,,
351,matip-type-b,MATIP Type B,,True,
351,bhoetty,bhoetty,True,,
351,bhoetty,bhoetty,,True,
352,dtag-ste-sb,DTAG,True,,
352,dtag-ste-sb,DTAG,,True,
352,bhoedap4,bhoedap4,True,,
352,bhoedap4,bhoedap4,,True,
353,ndsauth,NDSAUTH,True,,
353,ndsauth,NDSAUTH,,True,
354,bh611,bh611,True,,
354,bh611,bh611,,True,
355,datex-asn,DATEX-ASN,True,,
355,datex-asn,DATEX-ASN,,True,
356,cloanto-net-1,Cloanto Net 1,True,,
356,cloanto-net-1,Cloanto Net 1,,True,
357,bhevent,bhevent,True,,
357,bhevent,bhevent,,True,
358,shrinkwrap,Shrinkwrap,True,,
358,shrinkwrap,Shrinkwrap,,True,
359,nsrmp,Network Security Risk Management Protocol,True,,
359,nsrmp,Network Security Risk Management Protocol,,True,
360,scoi2odialog,scoi2odialog,True,,
360,scoi2odialog,scoi2odialog,,True,
361,semantix,Semantix,True,,
361,semantix,Semantix,,True,
362,srssend,SRS Send,True,,
362,srssend,SRS Send,,True,
363,rsvp-tunnel,"RSVP Tunnel IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel"".",True,,
363,rsvp_tunnel,RSVP Tunnel,True,,
363,rsvp-tunnel,"RSVP Tunnel IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel"".",,True,
363,rsvp_tunnel,RSVP Tunnel,,True,
364,aurora-cmgr,Aurora CMGR,True,,
364,aurora-cmgr,Aurora CMGR,,True,
365,dtk,DTK,True,,
365,dtk,DTK,,True,
366,odmr,ODMR,True,,
366,odmr,ODMR,,True,
367,mortgageware,MortgageWare,True,,
367,mortgageware,MortgageWare,,True,
